module,n_CFA,n_acute,n_bevacizumab,acute_minus_CFA,bevacizumab_minus_acute,bevacizumab_minus_CFA,p_exact_treatment,classification,FDR_BH_treatment
Endothelial_immune_activation,3,4,3,1.3578479756034936,-0.18348603559464116,1.1743619400088523,0.5714285714285714,little_change,0.8
BBB_specialization,3,4,3,-0.6735912984355522,-0.22303607880320486,-0.8966273772387571,0.4,discordant,0.711111111111111
Structural_ECM_remodeling,3,4,3,0.2898051633776671,0.43289963158952766,0.7227047949671948,0.14285714285714285,discordant,0.6
Tight_junction,3,4,3,-0.41635685283723634,-0.2932595753313125,-0.7096164281685489,0.2857142857142857,discordant,0.6666666666666666
BBB_transport_identity,3,4,3,-0.5330093377806798,-0.5850725395039796,-1.1180818772846595,0.05714285714285714,discordant,0.6
Caveolae_structural,3,4,3,-1.0763738239232756,0.16743300138600303,-0.9089408225372726,0.7714285714285715,little_change,0.9538461538461538
PLVAP_permeability,3,4,3,1.004643371131576,-0.2253881571556398,0.7792552139759362,0.45714285714285713,little_change,0.711111111111111
Adhesion_trafficking,3,4,3,0.94222365535404,-0.19572432978558052,0.7464993255684593,0.2571428571428571,little_change,0.6666666666666666
IFN_antigen_presentation,3,4,3,1.7214781022852743,-0.11041124372756772,1.6110668585577068,0.8285714285714286,little_change,0.9538461538461538
Wnt_BBB,3,4,3,-0.9153719091618655,0.004797815899254321,-0.9105740932626112,0.9714285714285714,little_change,0.9714285714285714
TGF_response,3,4,3,-0.2443103057426783,0.18342976444071415,-0.060880541301964144,0.45714285714285713,near_normalization,0.711111111111111
VEGF_response,3,4,3,0.1687506689402185,0.06275316893077244,0.23150383787099096,0.8857142857142857,discordant,0.9538461538461538
ROS_Src,3,4,3,1.2627034513166975,-0.4749235239726026,0.7877799273440949,0.11428571428571428,partial_attenuation,0.6
ECM_protease,3,4,3,0.7628587925545183,-0.6142237513151936,0.14863504123932467,0.17142857142857143,near_normalization,0.6
